,cell_name,predicted_label
5068,5068,T cells
5069,5069,TECs
5070,5070,T cells
5071,5071,T cells
5072,5072,B cells
5073,5073,TAMs
5074,5074,Plasma cells
5075,5075,T cells
5076,5076,CAFs
5077,5077,Plasma cells
5078,5078,NK cells
5079,5079,T cells
5080,5080,CAFs
5081,5081,NK cells
5082,5082,B cells
5083,5083,T cells
5084,5084,CAFs
5085,5085,B cells
5086,5086,T cells
5087,5087,B cells
5088,5088,TECs
5089,5089,TECs
5090,5090,CAFs
5091,5091,T cells
5092,5092,Cholangiocytes
5093,5093,B cells
5094,5094,T cells
5095,5095,T cells
5096,5096,B cells
5097,5097,B cells
5098,5098,CAFs
5099,5099,Dendritic cells
5100,5100,TAMs
5101,5101,TAMs
5102,5102,T cells
5103,5103,T cells
5104,5104,Dendritic cells
5105,5105,Neutrophils
5106,5106,CAFs
5107,5107,T cells
5108,5108,T cells
5109,5109,NK cells
5110,5110,Malignant cells
5111,5111,Monocytes
5112,5112,TECs
5127,5127,Malignant cells
5128,5128,Malignant cells
5129,5129,Malignant cells
5144,5144,Hepatocytes
5145,5145,Malignant cells
5146,5146,Malignant cells
5147,5147,Malignant cells
5148,5148,Malignant cells
5149,5149,Malignant cells
5150,5150,Malignant cells
5151,5151,Malignant cells
5152,5152,Malignant cells
5153,5153,Malignant cells
5154,5154,Malignant cells
5155,5155,Malignant cells
5156,5156,Malignant cells
5157,5157,Hepatocytes
5158,5158,TECs
5159,5159,Malignant cells
5160,5160,Malignant cells
5161,5161,Malignant cells
5162,5162,Malignant cells
5163,5163,Hepatocytes
5164,5164,Malignant cells
5165,5165,Malignant cells
5166,5166,Hepatocytes
5167,5167,Hepatocytes
5168,5168,Hepatocytes
5169,5169,Malignant cells
5170,5170,Malignant cells
5171,5171,Malignant cells
5172,5172,Malignant cells
5173,5173,Malignant cells
5174,5174,TECs
5175,5175,Malignant cells
5176,5176,Malignant cells
5177,5177,Malignant cells
5178,5178,Malignant cells
5179,5179,Malignant cells
5180,5180,TAMs
5181,5181,Malignant cells
5182,5182,Malignant cells
5183,5183,CAFs
5184,5184,TAMs
5185,5185,Malignant cells
5186,5186,TAMs
5187,5187,Hepatocytes
5188,5188,Malignant cells
5189,5189,Malignant cells
5190,5190,Hepatocytes
5191,5191,CAFs
5192,5192,TECs
5193,5193,TECs
5194,5194,CAFs
5195,5195,CAFs
5196,5196,Malignant cells
5197,5197,T cells
5198,5198,TECs
5199,5199,Monocytes
5200,5200,Malignant cells
5201,5201,Malignant cells
5202,5202,TECs
5203,5203,Malignant cells
5204,5204,CAFs
5205,5205,CAFs
5206,5206,T cells
5207,5207,T cells
5208,5208,TAMs
5209,5209,T cells
5210,5210,CAFs
5211,5211,T cells
5212,5212,TECs
5213,5213,Dendritic cells
5214,5214,B cells
5215,5215,TECs
5216,5216,TECs
5217,5217,TAMs
5218,5218,TECs
5219,5219,CAFs
5220,5220,CAFs
5221,5221,TECs
5222,5222,T cells
5223,5223,CAFs
5224,5224,TECs
5225,5225,T cells
5226,5226,TECs
5227,5227,Dendritic cells
5228,5228,Malignant cells
5229,5229,CAFs
5230,5230,CAFs
5231,5231,CAFs
5232,5232,TECs
5233,5233,T cells
5234,5234,Malignant cells
5235,5235,Hepatocytes
5236,5236,TAMs
5237,5237,TAMs
5238,5238,T cells
5239,5239,CAFs
5240,5240,T cells
5241,5241,T cells
5242,5242,Malignant cells
5243,5243,T cells
5244,5244,CAFs
5245,5245,Dendritic cells
5246,5246,T cells
5247,5247,CAFs
5248,5248,TECs
5249,5249,CAFs
5250,5250,CAFs
5251,5251,TECs
5252,5252,TECs
5253,5253,TAMs
5254,5254,TAMs
5255,5255,TAMs
5256,5256,CAFs
5257,5257,TECs
5258,5258,Dendritic cells
5259,5259,T cells
5260,5260,Malignant cells
5261,5261,TAMs
5262,5262,CAFs
5263,5263,Dendritic cells
5264,5264,T cells
5265,5265,Malignant cells
5266,5266,TECs
5282,5282,T cells
5299,5299,CAFs
5301,5301,Hepatocytes
5302,5302,Dendritic cells
5303,5303,TAMs
5304,5304,B cells
5305,5305,TAMs
5306,5306,T cells
5307,5307,CAFs
5308,5308,CAFs
5309,5309,B cells
5310,5310,B cells
5311,5311,TAMs
5312,5312,TAMs
5313,5313,CAFs
5314,5314,B cells
5315,5315,CAFs
5316,5316,Hepatocytes
5317,5317,T cells
5318,5318,B cells
5319,5319,CAFs
5320,5320,CAFs
5321,5321,Monocytes
5322,5322,Dendritic cells
5323,5323,Monocytes
5351,5351,CAFs
5352,5352,CAFs
5353,5353,TECs
5354,5354,TECs
5355,5355,CAFs
5356,5356,TECs
5357,5357,CAFs
5358,5358,CAFs
5359,5359,CAFs
5360,5360,CAFs
5361,5361,CAFs
5362,5362,CAFs
5363,5363,CAFs
5364,5364,CAFs
5365,5365,TECs
5366,5366,TECs
5367,5367,CAFs
5368,5368,TECs
5369,5369,TECs
5370,5370,TECs
5371,5371,CAFs
5372,5372,CAFs
5373,5373,Hepatocytes
5374,5374,CAFs
5375,5375,CAFs
5376,5376,CAFs
5377,5377,Hepatocytes
5378,5378,CAFs
